institution_id,inspection_date,institution_type,status,infrastructure_score,faculty_score,student_performance_score,compliance_level,overall_score
16,2024-11-16 21:53:47.290564,Engineering,Completed,0.8942236716266494,0.9314222391624325,0.8160532768337854,Partially Compliant,0.8218599031624729
17,2024-10-28 21:53:47.290564,Engineering,Scheduled,0.8324924517379977,0.9157171393278742,0.8203668978366709,Fully Compliant,0.6385721759366799
18,2024-05-22 21:53:47.290564,Pharmacy,Completed,0.6301434287830014,0.7231183326722983,0.852083266395758,Partially Compliant,0.72483848859186
19,2024-07-12 21:53:47.290564,Pharmacy,In Progress,0.9535975153529149,0.9655153775493037,0.9237156529393987,Partially Compliant,0.6726322760285266
20,2024-04-17 21:53:47.290564,Engineering,In Progress,0.8353661559529171,0.9811260068010024,0.6999753951788731,Non-Compliant,0.5863783781231049
21,2024-06-06 21:53:47.290564,Applied Arts and Crafts,In Progress,0.78022031549022,0.7306970168120164,0.8381495137177427,Partially Compliant,0.810990395046937
22,2024-09-16 21:53:47.290564,Architecture,Completed,0.5554947346067405,0.7417699795172219,0.771503641219502,Partially Compliant,0.9409877775703037
23,2024-06-23 21:53:47.290564,Architecture,Completed,0.7235277719032127,0.8022536613687835,0.5119839638786096,Fully Compliant,0.9795421211412016
24,2024-10-17 21:53:47.290564,Management,In Progress,0.7301791356009631,0.9764483250134695,0.41541378692164493,Fully Compliant,0.5961731815769575
25,2024-05-17 21:53:47.290564,Applied Arts and Crafts,Completed,0.932281804761335,0.9505277732569246,0.5707248314061603,Non-Compliant,0.8586863870314867
26,2025-03-05 21:53:47.290564,Pharmacy,Completed,0.7733241100938942,0.6410271850334359,0.6658202238025717,Fully Compliant,0.8321696833028411
27,2024-07-17 21:53:47.290564,Engineering,In Progress,0.6902002744852048,0.7570922973085665,0.7702635666571938,Fully Compliant,0.6716888947872863
28,2024-08-03 21:53:47.290564,Management,Completed,0.9884001642553297,0.8213484758999088,0.9099755983019232,Non-Compliant,0.5095495996768629
29,2024-04-16 21:53:47.290564,Architecture,Scheduled,0.5553602966631579,0.801252989020616,0.5177474300236994,Partially Compliant,0.8448956236564331
30,2025-02-06 21:53:47.290564,Pharmacy,Scheduled,0.7112742141559723,0.6775452271747571,0.47532987393908627,Non-Compliant,0.9727474302797501
31,2025-01-27 21:53:47.290564,Pharmacy,Scheduled,0.5210123375857026,0.9435267084672618,0.9780879684845966,Fully Compliant,0.8160600609578257
32,2024-10-08 21:53:47.290564,Engineering,Scheduled,0.8699520603834652,0.8707763131987349,0.4648267356258443,Non-Compliant,0.717646362093817
33,2024-09-20 21:53:47.290564,Architecture,In Progress,0.9590382760995753,0.9351633499407215,0.6870946420643136,Partially Compliant,0.7625769470558141
34,2024-06-29 21:53:47.290564,Applied Arts and Crafts,In Progress,0.6400186647752447,0.9435057117397889,0.7513382372759811,Non-Compliant,0.5998144038299588
35,2024-09-18 21:53:47.290564,Pharmacy,In Progress,0.9291708383995605,0.8993423414662959,0.724824652544463,Fully Compliant,0.8752720818768688
36,2024-10-03 21:53:47.290564,Engineering,Scheduled,0.6461091152309488,0.7756842404998869,0.45161929421976593,Fully Compliant,0.8732099150049245
37,2025-02-04 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.9553850808219576,0.8442187020061698,0.43421614840217165,Non-Compliant,0.5727586501937125
38,2024-03-28 21:53:47.290564,Architecture,Completed,0.876980951798392,0.6641461624478973,0.4632900564766214,Partially Compliant,0.9389891912498296
39,2025-01-31 21:53:47.290564,Pharmacy,Completed,0.9024533884207193,0.869458166989963,0.7513526103235675,Non-Compliant,0.6345948697366526
40,2024-07-26 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.5090032778002272,0.6717013022957122,0.7266069325805926,Partially Compliant,0.9911280304683074
41,2024-05-11 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.981405178537013,0.8775798362040628,0.5402444752220465,Partially Compliant,0.6914515070186229
42,2024-11-16 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.8633354960351616,0.6918392643015875,0.782664485107355,Non-Compliant,0.5889420293672498
43,2024-05-24 21:53:47.290564,Pharmacy,Scheduled,0.6523755476930666,0.6470205200600879,0.8920405012333896,Partially Compliant,0.6758600556728261
44,2024-11-12 21:53:47.290564,Pharmacy,Completed,0.9146973324294234,0.6661137960571829,0.4249473759079563,Fully Compliant,0.7200901643485966
45,2025-03-06 21:53:47.290564,Management,Scheduled,0.640760599207465,0.6007968540876281,0.6988779661288255,Non-Compliant,0.5346538865191475
46,2024-05-02 21:53:47.290564,Architecture,Completed,0.936376919783064,0.887495847141412,0.8135862472616142,Partially Compliant,0.7891091906116448
47,2024-10-11 21:53:47.290564,Engineering,Scheduled,0.5562901952059685,0.8929604196233516,0.5513871562418122,Fully Compliant,0.7988162199344502
48,2024-06-26 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.8518429887303979,0.8059733399653037,0.5846625431758895,Non-Compliant,0.8694652276747361
49,2024-12-28 21:53:47.290564,Management,Scheduled,0.7703492383224552,0.6645451204221534,0.7681827417936302,Fully Compliant,0.5145849461453716
50,2024-05-15 21:53:47.290564,Engineering,Completed,0.5482672350977205,0.6334217350042759,0.9387611760662421,Fully Compliant,0.7706191072169151
51,2025-03-13 21:53:47.290564,Management,Completed,0.6209469141294195,0.6076515865749148,0.8859546521817396,Fully Compliant,0.5264537166353322
52,2024-07-28 21:53:47.290564,Pharmacy,In Progress,0.5062020181386574,0.6662992707860883,0.7498781314597501,Partially Compliant,0.8505721099833268
53,2024-07-05 21:53:47.290564,Applied Arts and Crafts,Scheduled,0.7343839827322529,0.9563422139932587,0.8381330306543495,Non-Compliant,0.5278639928504922
54,2024-04-15 21:53:47.290564,Engineering,In Progress,0.6506326303800002,0.6966147366806728,0.6188934821246792,Non-Compliant,0.9558639241708163
55,2025-02-02 21:53:47.290564,Engineering,In Progress,0.7991787421488794,0.7417085308868863,0.7845793168592546,Partially Compliant,0.8510412834422483
56,2024-04-21 21:53:47.290564,Engineering,Completed,0.6486189038543086,0.6421381937925332,0.6797089546765342,Non-Compliant,0.7536948825425785
57,2024-12-25 21:53:47.290564,Engineering,Completed,0.6499595557534923,0.6889445218992681,0.5139616818745365,Fully Compliant,0.7207519616405875
58,2024-07-06 21:53:47.290564,Engineering,In Progress,0.8715965993658017,0.807689828312082,0.8210429643263544,Non-Compliant,0.5653363152066312
59,2025-02-20 21:53:47.290564,Management,Scheduled,0.5240714179891768,0.843101073238261,0.7338787824092932,Partially Compliant,0.6454996947823315
60,2024-09-02 21:53:47.290564,Applied Arts and Crafts,Completed,0.9514474975959937,0.6981409256664844,0.6151729491721548,Fully Compliant,0.9344795525104481
61,2025-01-05 21:53:47.290564,Pharmacy,Scheduled,0.9261319371955907,0.6230928636900469,0.9468035140471784,Partially Compliant,0.952226405781247
62,2025-02-05 21:53:47.290564,Pharmacy,Scheduled,0.8339023416132032,0.7564131476509595,0.41256047069603996,Fully Compliant,0.5003738541852656
63,2024-04-01 21:53:47.290564,Pharmacy,In Progress,0.7966107850536921,0.6936813483705336,0.5894638907496976,Fully Compliant,0.7970681957387756
64,2025-03-25 21:53:47.290564,Pharmacy,In Progress,0.9461512490698261,0.6878215692919207,0.43412883866658797,Non-Compliant,0.8596503045125568
65,2025-02-01 21:53:47.290564,Management,In Progress,0.5926650897643573,0.9839451210853821,0.8599163897329762,Fully Compliant,0.8093734912288031
66,2024-12-11 21:53:47.290564,Architecture,In Progress,0.5394845810954143,0.8465201943702896,0.8212644724682756,Partially Compliant,0.540839882433177
67,2024-07-10 21:53:47.290564,Applied Arts and Crafts,Completed,0.619755084954769,0.8227513772688384,0.5988113312417902,Non-Compliant,0.6088624493994511
68,2024-05-21 21:53:47.290564,Engineering,Completed,0.8972891393500951,0.7663100414093288,0.8053977413242439,Partially Compliant,0.625170133690693
69,2024-09-17 21:53:47.290564,Architecture,In Progress,0.5173351333632417,0.7715777333720577,0.6375623357175699,Fully Compliant,0.9158623156525448
70,2024-08-21 21:53:47.290564,Pharmacy,Completed,0.7914034175417448,0.8163620015352323,0.8537522748534606,Partially Compliant,0.7315997181544602
71,2025-02-11 21:53:47.291572,Architecture,In Progress,0.997718758095655,0.8785719228144429,0.6725101976420236,Partially Compliant,0.7434141059706184
72,2024-10-16 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.9278480469187698,0.8808584384727318,0.6473678366989993,Fully Compliant,0.9674465232772542
73,2024-09-06 21:53:47.291572,Engineering,Scheduled,0.7607228445217947,0.6686775630821798,0.9608379492929806,Non-Compliant,0.8185429444273578
74,2024-06-30 21:53:47.291572,Engineering,Scheduled,0.5318204546433212,0.8000451008306508,0.5505274599344201,Partially Compliant,0.9493338507763319
75,2024-04-10 21:53:47.291572,Applied Arts and Crafts,In Progress,0.9156867571928549,0.7647832380136408,0.4722684039979393,Fully Compliant,0.7282544276707665
76,2024-05-27 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.7994892540886053,0.9482107865077537,0.750725867955675,Non-Compliant,0.5747181292591471
77,2024-06-29 21:53:47.291572,Pharmacy,Completed,0.5574664985297835,0.8525675684873506,0.9815930873705073,Non-Compliant,0.9649677970370428
78,2024-08-24 21:53:47.291572,Engineering,Scheduled,0.5469286424116782,0.8130016265663927,0.626703528236312,Non-Compliant,0.7293525578337692
79,2024-07-18 21:53:47.291572,Architecture,Scheduled,0.9548134097182962,0.6461578568715669,0.43722205817726895,Partially Compliant,0.590815710939411
80,2024-09-18 21:53:47.291572,Management,Scheduled,0.8346001314690392,0.8422551557293646,0.6035831603857404,Partially Compliant,0.6511978701519612
81,2024-06-04 21:53:47.291572,Management,Completed,0.9146433996583778,0.6468815622720934,0.7035589925917352,Partially Compliant,0.5254012948444711
82,2024-08-26 21:53:47.291572,Applied Arts and Crafts,In Progress,0.9394894501411337,0.7348826302263008,0.49715380397932823,Non-Compliant,0.7341502957281926
83,2024-08-31 21:53:47.291572,Pharmacy,Completed,0.7858861760241611,0.6571367859257328,0.7948613308338952,Partially Compliant,0.9265640859551183
84,2024-08-02 21:53:47.291572,Management,In Progress,0.7587231758775206,0.8768294588097476,0.9986496334061203,Fully Compliant,0.9667902280033447
85,2024-04-23 21:53:47.291572,Engineering,In Progress,0.7152137051604951,0.682500845534461,0.6710436855888663,Partially Compliant,0.9663011037518219
86,2025-02-02 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.6584732938955596,0.7567437492752104,0.6128371340381276,Partially Compliant,0.5626150128143734
87,2024-06-20 21:53:47.291572,Architecture,In Progress,0.7172979804293559,0.9582699110475115,0.64042250010068,Non-Compliant,0.6910269412555285
88,2024-08-22 21:53:47.291572,Applied Arts and Crafts,Completed,0.8869398278650782,0.6817265533595881,0.4690877070371207,Partially Compliant,0.5141143798253531
89,2024-07-18 21:53:47.291572,Architecture,Completed,0.8009617155075658,0.8031220255835116,0.9299641608557343,Fully Compliant,0.9275826724857363
90,2024-09-20 21:53:47.291572,Applied Arts and Crafts,In Progress,0.946261644977423,0.7677086644664088,0.6488953933128112,Non-Compliant,0.6793778810106369
91,2025-02-14 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.7216900071895939,0.6072496164182919,0.6323646468549048,Fully Compliant,0.8155585139461174
92,2024-10-21 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.803544789359377,0.9171032454291251,0.7958141637582846,Non-Compliant,0.8574492190386442
93,2025-03-12 21:53:47.291572,Architecture,Completed,0.8156537765459944,0.6276183625258399,0.6652200525586741,Non-Compliant,0.7149223348715776
94,2024-05-30 21:53:47.291572,Architecture,Scheduled,0.7958485811531628,0.7897020083907814,0.7889400812847076,Partially Compliant,0.6532211682751214
95,2025-01-21 21:53:47.291572,Applied Arts and Crafts,In Progress,0.8513168865427582,0.82427131797558,0.43686777407847255,Fully Compliant,0.9811064550579723
96,2024-04-16 21:53:47.291572,Management,In Progress,0.6187167341874031,0.8513705826458349,0.8882340062333365,Non-Compliant,0.9822441125119271
97,2024-05-04 21:53:47.291572,Pharmacy,Completed,0.7561818887728953,0.8754526517231502,0.9643023717276415,Partially Compliant,0.6447181840150109
98,2025-03-18 21:53:47.291572,Pharmacy,In Progress,0.5521124014041738,0.701308953409086,0.7892592316956315,Non-Compliant,0.7398125483722291
99,2024-04-17 21:53:47.291572,Pharmacy,Completed,0.6922556638224062,0.6039915106633797,0.9727395573152865,Non-Compliant,0.9864220793300111
100,2024-11-18 21:53:47.291572,Architecture,In Progress,0.7438335343106321,0.8893774649419648,0.490859388621978,Non-Compliant,0.5024342038277516
101,2024-11-11 21:53:47.291572,Architecture,Completed,0.8261121297727363,0.8142626397390315,0.6864497136882122,Non-Compliant,0.7063391241895747
102,2025-01-23 21:53:47.291572,Management,Scheduled,0.9752655262931018,0.9344470812828995,0.7610840403672683,Non-Compliant,0.5502287748404842
103,2024-11-08 21:53:47.291572,Pharmacy,In Progress,0.8003255332741779,0.9285553451602777,0.749041988452712,Non-Compliant,0.7545789827813013
104,2025-01-05 21:53:47.291572,Pharmacy,In Progress,0.8717969580882798,0.9373304671151532,0.640877067453426,Partially Compliant,0.5123349772702436
105,2024-10-15 21:53:47.291572,Applied Arts and Crafts,Completed,0.7531330297476013,0.7940378639918161,0.6028506456197569,Non-Compliant,0.7034492156953139
106,2024-06-11 21:53:47.291572,Architecture,Completed,0.8170520156881657,0.7334513583347463,0.4760944135302513,Fully Compliant,0.6103495373926675
107,2024-07-09 21:53:47.291572,Pharmacy,In Progress,0.5354661080668868,0.916623281036548,0.6350454703373669,Partially Compliant,0.7666541812293703
108,2024-08-08 21:53:47.291572,Management,Completed,0.6271957904209235,0.780517645211702,0.4975964890632911,Fully Compliant,0.9979968245503499
109,2025-02-14 21:53:47.291572,Management,In Progress,0.6809265466025693,0.6733768785613737,0.8406194058953311,Non-Compliant,0.9002680525633738
110,2025-02-27 21:53:47.291572,Pharmacy,Scheduled,0.7362466775032568,0.9419896078245897,0.525298561296754,Fully Compliant,0.9228210458122107
111,2024-11-12 21:53:47.291572,Architecture,Completed,0.5228243727511919,0.9530239507089389,0.4351391831707203,Non-Compliant,0.8176324936795405
112,2024-09-07 21:53:47.291572,Management,In Progress,0.5700120487766589,0.7865239024560681,0.7314196826903405,Non-Compliant,0.5207799241361293
113,2024-05-03 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.6384071538956528,0.630279890923915,0.757137839631641,Partially Compliant,0.6033988380220721
114,2024-07-02 21:53:47.291572,Management,Scheduled,0.9857663454505253,0.7551304359667725,0.9231478367683033,Partially Compliant,0.9625322782235275
115,2025-02-22 21:53:47.291572,Engineering,In Progress,0.6656735035515253,0.9214150637850413,0.7461889674506091,Non-Compliant,0.6830565589643756
116,2025-02-07 21:53:47.291572,Engineering,Completed,0.7410205290560412,0.9607096114184914,0.6072885122340674,Partially Compliant,0.5518183632403978
117,2025-01-24 21:53:47.291572,Architecture,In Progress,0.5980488563691965,0.6813890969990384,0.8818071289157923,Fully Compliant,0.851202682933101
118,2024-08-23 21:53:47.291572,Pharmacy,Scheduled,0.8053900355378841,0.6267894448101086,0.7241673359124526,Partially Compliant,0.6497288619671273
119,2024-06-07 21:53:47.291572,Architecture,In Progress,0.6403416077579871,0.9509401812531355,0.4475681707787151,Partially Compliant,0.6344284564520859
120,2024-12-18 21:53:47.291572,Architecture,Completed,0.6034962892192134,0.7557619755915501,0.739510336187948,Fully Compliant,0.9989887277791302
121,2024-10-06 21:53:47.291572,Architecture,Scheduled,0.7582863142229895,0.8167043857070253,0.9448111272529974,Partially Compliant,0.9290694625133271
122,2024-04-01 21:53:47.291572,Architecture,In Progress,0.5027528995802104,0.9872263248203036,0.6377875752989324,Non-Compliant,0.7039689091839205
123,2024-08-25 21:53:47.291572,Applied Arts and Crafts,Completed,0.5038320163246126,0.6266258911656891,0.57779548113988,Fully Compliant,0.9901306039082496
124,2025-02-20 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.6095344045509289,0.8593272029808382,0.48608167421081205,Non-Compliant,0.8250566117096068
125,2024-08-12 21:53:47.291572,Management,Completed,0.5183606812504106,0.6296421690299469,0.4908673131612144,Fully Compliant,0.8710112259398801
126,2024-12-16 21:53:47.291572,Engineering,Scheduled,0.5540128770653456,0.7501875713866002,0.6596628906050914,Non-Compliant,0.5157565215411057
127,2024-11-16 21:53:47.291572,Architecture,In Progress,0.6694303246693758,0.9215258180773787,0.7574078944969178,Non-Compliant,0.5608026296740285
128,2024-07-13 21:53:47.291572,Management,Completed,0.9012928397899065,0.7733888931022538,0.4483692431017611,Partially Compliant,0.8165425632481191
129,2025-03-22 21:53:47.291572,Engineering,Scheduled,0.7860243216846504,0.9988729415611801,0.9637411534150995,Non-Compliant,0.949511991324742
130,2024-08-21 21:53:47.291572,Pharmacy,Completed,0.7563338629782081,0.8236237139786409,0.8530801704671176,Partially Compliant,0.8118718630437978
131,2024-07-15 21:53:47.291572,Applied Arts and Crafts,Completed,0.6467444116040608,0.7284648610543814,0.7519743509701976,Fully Compliant,0.567012447159496
132,2024-04-02 21:53:47.291572,Engineering,In Progress,0.9658768597164082,0.6880445303619013,0.8970632025633944,Non-Compliant,0.5578800231231623
133,2024-06-17 21:53:47.291572,Pharmacy,Completed,0.6985075206185958,0.7402082137144648,0.448112054087268,Non-Compliant,0.9220929479120408
134,2024-09-01 21:53:47.291572,Engineering,Scheduled,0.5435463833978857,0.7490133095038203,0.6861033266398746,Fully Compliant,0.5696511693539572
135,2025-03-12 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.8085332580589006,0.6274854710895844,0.778055876116998,Fully Compliant,0.7601159802520128
136,2024-04-15 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.5569191967383007,0.7478296797707092,0.8971917436709735,Non-Compliant,0.5185566599811511
137,2025-02-13 21:53:47.291572,Management,Scheduled,0.672611571400846,0.7856954078956899,0.8700817360295606,Fully Compliant,0.5403348836955887
138,2024-09-29 21:53:47.291572,Architecture,In Progress,0.7537059693589044,0.8890951008955219,0.5662415498280398,Partially Compliant,0.8361741338214324
139,2025-01-23 21:53:47.291572,Engineering,Completed,0.9371112623425879,0.8626917938886431,0.9645281017355226,Fully Compliant,0.8445907052137583
140,2024-04-09 21:53:47.291572,Engineering,In Progress,0.7467732901700593,0.8835062620916616,0.4746075048585222,Fully Compliant,0.6707347033042212
141,2024-08-08 21:53:47.291572,Pharmacy,Completed,0.8511293830158322,0.6033454727507428,0.9250801711726913,Non-Compliant,0.6078048826215223
142,2024-07-29 21:53:47.291572,Applied Arts and Crafts,Completed,0.9964084194995352,0.6870669598322144,0.9825641497627712,Partially Compliant,0.906855135378654
143,2025-02-03 21:53:47.291572,Engineering,Completed,0.5657445599489908,0.8646737153599426,0.5062921139335753,Fully Compliant,0.6085516147349452
144,2024-12-21 21:53:47.291572,Applied Arts and Crafts,In Progress,0.6373657627597598,0.7935957472718989,0.8332396385222711,Partially Compliant,0.7710135348331899
145,2024-08-17 21:53:47.291572,Engineering,Completed,0.6972880377988232,0.6021253902673384,0.4241713112667991,Partially Compliant,0.9841044204314527
146,2024-08-08 21:53:47.291572,Management,In Progress,0.7109140892694157,0.921797856972729,0.643253695083493,Partially Compliant,0.5739262189311919
147,2024-08-02 21:53:47.291572,Architecture,Scheduled,0.7055105376327728,0.909123829316135,0.7097699795186044,Non-Compliant,0.9704381337473544
148,2024-11-04 21:53:47.291572,Engineering,Scheduled,0.9538055012782775,0.8193676651974251,0.7483871355457805,Fully Compliant,0.5914465265343343
149,2024-10-07 21:53:47.291572,Applied Arts and Crafts,Completed,0.8570163222334282,0.6265853303105088,0.9615623489491357,Non-Compliant,0.7837216040116148
150,2025-02-26 21:53:47.291572,Management,In Progress,0.8039526070453519,0.9066060198130339,0.8033504123765168,Fully Compliant,0.6885038559793724
151,2025-02-19 21:53:47.291572,Engineering,Scheduled,0.654686358931391,0.8334854350925456,0.6887667707315421,Fully Compliant,0.982464300750913
152,2025-03-14 21:53:47.291572,Pharmacy,In Progress,0.9118951921106473,0.9127839908631836,0.8858050217595336,Non-Compliant,0.6367710145009684
153,2024-10-18 21:53:47.291572,Architecture,In Progress,0.9775302557424945,0.9006987969583362,0.9703196925726454,Partially Compliant,0.6998290010428768
154,2024-05-04 21:53:47.291572,Engineering,Completed,0.9105991412751133,0.9212008287831348,0.41323968920937454,Partially Compliant,0.9914300589277103
155,2024-09-21 21:53:47.291572,Management,Scheduled,0.5007825525957365,0.80720322656185,0.9895127633536233,Fully Compliant,0.7682351955942366
156,2024-07-27 21:53:47.291572,Pharmacy,Completed,0.8182006850917035,0.656129807277406,0.45167928343820823,Non-Compliant,0.7513150578106267
157,2024-12-31 21:53:47.291572,Management,Completed,0.5255676907210504,0.8684629893518754,0.8886320675612568,Partially Compliant,0.6288892441019956
158,2024-06-16 21:53:47.291572,Management,Scheduled,0.6288036101668609,0.8481895140207882,0.5682008515308475,Partially Compliant,0.8506817801552207
159,2025-01-20 21:53:47.291572,Pharmacy,Scheduled,0.5297623501738858,0.8969012748796348,0.4793077946523231,Fully Compliant,0.5071864758888889
160,2024-10-08 21:53:47.291572,Management,In Progress,0.8018977264746938,0.6679524024202941,0.6639133838283009,Fully Compliant,0.5247563148511467
161,2025-02-10 21:53:47.291572,Pharmacy,Scheduled,0.8432949567463034,0.6779900799601157,0.786373947668568,Non-Compliant,0.7996792935679014
162,2025-01-24 21:53:47.291572,Engineering,In Progress,0.5572438190329525,0.9561638068877314,0.628571107014085,Fully Compliant,0.6708372869092271
163,2024-11-13 21:53:47.291572,Pharmacy,In Progress,0.6919194415224897,0.8999911193808283,0.4327392449696194,Partially Compliant,0.9766581861004803
164,2024-06-16 21:53:47.291572,Pharmacy,In Progress,0.728118254477771,0.9632913954801292,0.75967668379523,Partially Compliant,0.9515953453613928
165,2025-02-27 21:53:47.291572,Architecture,Scheduled,0.6845265108804583,0.9034861284655683,0.9414419656664048,Partially Compliant,0.8568531293383537
166,2024-12-09 21:53:47.291572,Pharmacy,Completed,0.5605125002425966,0.8388621223961208,0.629929219568351,Partially Compliant,0.9090727905639007
167,2025-02-11 21:53:47.291572,Pharmacy,In Progress,0.7094738950937377,0.8616530948111494,0.5297996665784962,Non-Compliant,0.8336659248338467
168,2024-04-21 21:53:47.291572,Engineering,Completed,0.875589023904209,0.9556511695760039,0.6655464075596893,Non-Compliant,0.5627910513550803
169,2024-06-14 21:53:47.291572,Architecture,Completed,0.5355038322666277,0.8315227018047762,0.42901762662926857,Fully Compliant,0.8827716848446013
170,2024-04-30 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.5400900070409518,0.8529565297313549,0.8922925506881649,Fully Compliant,0.6050959843594232
171,2024-11-19 21:53:47.291572,Engineering,Completed,0.6773856459179921,0.6625906864014403,0.895804486570112,Fully Compliant,0.6617214275500984
172,2024-04-13 21:53:47.291572,Engineering,Completed,0.9708628558094625,0.7895684880464411,0.752800278057777,Non-Compliant,0.9096171060512102
173,2024-08-08 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.834286323361457,0.8865588447832395,0.6118617333630337,Partially Compliant,0.7682628041967241
174,2024-09-18 21:53:47.291572,Pharmacy,In Progress,0.8393349783362825,0.7083770793265461,0.8798700186674699,Fully Compliant,0.9299703570917046
175,2024-08-14 21:53:47.291572,Management,Completed,0.6809599954189325,0.680901672209814,0.7328122148730203,Partially Compliant,0.6065176599216321
176,2024-06-17 21:53:47.291572,Architecture,Scheduled,0.7968303956042693,0.7255307232897662,0.8955593851300097,Fully Compliant,0.8038892193034436
177,2024-11-26 21:53:47.291572,Management,Completed,0.5050655920138717,0.6966002511971334,0.7788752755498124,Fully Compliant,0.5418954862741308
178,2024-12-01 21:53:47.291572,Applied Arts and Crafts,Completed,0.8180480232047711,0.6859650548145584,0.8706432839276783,Fully Compliant,0.8215304967700148
179,2024-08-06 21:53:47.291572,Engineering,In Progress,0.9566434737881184,0.7699403371472348,0.759137795930656,Fully Compliant,0.8812670188877674
180,2024-07-11 21:53:47.291572,Engineering,Completed,0.8062867341724096,0.9631354055534136,0.6484846409293997,Fully Compliant,0.7924654469893608
181,2024-04-02 21:53:47.291572,Architecture,Scheduled,0.9368492967331725,0.8028238586954873,0.9747675159556826,Partially Compliant,0.6331157507494052
182,2024-09-10 21:53:47.291572,Engineering,Completed,0.861986527733047,0.6751681523261293,0.7246682949273069,Fully Compliant,0.5156713344294334
183,2024-11-10 21:53:47.291572,Engineering,In Progress,0.5602792082018451,0.6307886677523497,0.763053711124323,Partially Compliant,0.5597244419821429
184,2024-05-13 21:53:47.291572,Architecture,In Progress,0.9512266536429208,0.8784624580551701,0.5322925836488496,Non-Compliant,0.8111514895370131
185,2024-10-13 21:53:47.291572,Architecture,Scheduled,0.5332219221778874,0.7531195057745551,0.7753904736563659,Fully Compliant,0.9672101084212569
186,2024-08-14 21:53:47.291572,Applied Arts and Crafts,In Progress,0.7669837362738818,0.9287323786341437,0.7429645896897663,Partially Compliant,0.6032672019860033
187,2024-05-24 21:53:47.291572,Engineering,Completed,0.5710685618967288,0.863804307456308,0.510903038768215,Non-Compliant,0.8675130745525494
188,2024-08-05 21:53:47.291572,Engineering,In Progress,0.505853305365452,0.9184965802165475,0.43575225841188625,Non-Compliant,0.9332255316245208
189,2024-10-06 21:53:47.291572,Applied Arts and Crafts,Scheduled,0.7110171300638195,0.7087784157673795,0.7626155918288626,Non-Compliant,0.7604410892237555
190,2024-10-26 21:53:47.291572,Pharmacy,In Progress,0.6475203538270782,0.8769435689844232,0.8582153616101923,Partially Compliant,0.8346328979218289
